课程名称,价格,报名人数,课程进度,课程机构
MySQL读写分离,0.0,316,共6节,图灵学院
python高级软件测试开发第1-3期【柠檬班VIP】,53622.0,550,开设3个班级,柠檬班
HTML+CSS Web前端开发工程师快速入门必备课程【咕泡】,0.0,399,共11节,咕泡教育
Web前端入学宝典【渡一教育】,0.0,871,共29节,渡一教育
【NEXT学院】Vue从入门到实战,5977.22,552,共38节,腾讯课堂NEXT学院
python开发入门与职业进阶,0.0,8842,共39节,逻辑教育
Redis使用精髓-微博与微信如何用Redis巧妙构建,0.0,377,共6节,图灵学院
SEO+谷歌SEO套餐课,9777.22,51,课程12,魔贝课凡
Python人工智能精选集,0.0,563,共8节,软谋教育
华为认证HCNA/HCIA网络技术零基础教程（全套技术+实战+案例）,0.0,360,共18节,新盟教育
就业+Vue技术助力计划,1762.22,5,课程2,妙思维JS++
json-Python自动化运维开发-Openstack/Ansible/docker【学神IT】,0.0,833,共19节,学神IT教育
799预定两门课程,477.22,5,课程2,柠檬班
json-Python自动化测试-项目实战-自动化测试/测试开发/接口/性能,0.0,50,共8节,学神IT教育
web前端学习之Javascript/js零基础到经典实战【软谋教育】,0.0,505,共4节,软谋教育
RHCA-RHCE认证考试+红帽官方授权+Linux架构师【学神IT】,0.0,371,共20节,学神IT教育
SEO+SEM套餐课程,9777.22,1,课程12,魔贝课凡
"Tomcat源码剖析分布式架构性能优化Tomcat,Java架构师_咕泡学院",0.0,504,共1节,咕泡教育
Zookeeper集群原理【图灵学院】,0.0,306,共5节,图灵学院
4周文案训练营，快速掌握10年职业文案人的私家绝活（第18期）,177.22,5202,共50节,起点学院
iOS中高级底层探究,0.0,554,共1节,逻辑教育
原生JS扫雷游戏实战开发【渡一教育】,0.0,342,共1节,渡一教育
就业+NodeJS助力计划,4762.22,2,课程3,妙思维JS++
【柠檬班】软件测试常用工具,0.0,72,共6节,柠檬班
Spring MVC源码剖析【图灵学院】,0.0,336,共6节,图灵学院
Java分布式互联网架构/微服务/高性能/springboot/springcloud,8777.22,32,共103节,拓薪教育
性能调优专题-Java虚拟机性能调优与底层原理分析,0.0,354,共6节,图灵学院
安卓逆向与手游辅助逆向实战开发,0.0,816,共35节,易锦教育
全网最全最细的Jmeter接口测试压力课程实战，没有之一【柠檬班】,37.22,3342,共113节,柠檬班
SEM百度竞价培训|网络营销推广教程|360UC神马搜狗搜索引擎推广课,0.0,578,共13节,魔贝课凡
kali渗透测试/web安全/白帽子黑客/网络安全/无线安全/入侵防御/,0.0,381,共7节,领航者教育
Java高级软件测试开发第1-2期【柠檬班】,53622.0,12,开设2个班级,柠檬班
Linux运维教程之SSHd服（上）,0.0,36,共5节,新盟教育
Go语言Golang入门至高级/micro/channel/goroutine/PHP区块链咕泡,0.0,551,进度：3/3节,咕泡教育
【动脑学院VIP】50W年薪安卓Android架构性能优化UI/NDK/Flutter,1662.22,9312,进度：114/125节,动脑学院
深入理解内存模型与多线程结果-jvm模型,0.0,545,共7节,图灵学院
华为HCNA/HCIA网络工程师全套实战教程（零基础小白入门到精通）,0.0,556,共13节,新盟教育
Java分布式互联网架构/微服务/高性能/springboot/springcloud,8777.22,542,共67节,拓薪教育
分布式专题-亿级流量商品详情静态化与多级缓存实战【图灵学院】,0.0,500,共6节,图灵学院
赵越人工智能AI开发课(Python+PyCharm+PyTorch),0.0,6,共10节,智德金智能交易学院
Axure原型实战班（系统学习最新的Axure9.0，已有5000+同学学习）,77.22,9,共87节,起点学院
木泉boss-Linux高级架构师 挑战30W年薪 运维/集群/云计算,0.0,5320,共33节,新盟教育
Web前端高级 html5/css3/javascript/vue/react/node/es6/webpack,0.0,20,共2节,软谋教育
Java基础入门阶段（javase教程，零基础java入门教程）（阶段一）,177.22,455,共212节,拓薪教育
0基础文案体验营——3天打开文案思维，提升工作表现,0.0,817,共3节,起点学院
闫辉  创新思科华为双厂商网络基础融合课程CCNA+HCNA=XCNA,0.0,591,共26节,太阁IT认证中心
信息系统项目管理师-应试宝典,476.22,2,课程5,清哥好课堂
Java零基础入门到精通/JavaWEB开发/Java全栈开发【六星教育】,0.0,867,共36节,六星教育
