course_name,course_organization,course_price,course_status
【齐论跨境/专注跨境培训】亚马逊全球开店介绍及收款方式详解,齐论跨境学院,¥55.22,随到随学
Java架构师培养计划-Level one,渡一教育,¥9077.22,随到随学
2020年江西教师招聘考试教育综合知识精讲班-高校教育,江西高校教育文化发展有限公司,¥5362.22,共74节
SEO+谷歌SEO套餐课,魔贝课凡,¥9777.22,课程12
信息学算法专题打包课,深学教育,¥3862.22,课程8
纯粹-2019黄恺室内设计平面布局户型优化核心班（方案设计系统）,纯粹教育设计网校,¥8822.22,随到随学
高端大数据课程 精英培训计划,优效学院,¥1762.22,开设3个班级
【NEXT学院】Python从入门到实战·基础篇,腾讯课堂NEXT学院,¥777.22,共33节
基础强化班,画境CG学园,¥5276.22,课程2
剑指Offer-ACM大牛带你玩转数据结构与算法,图灵学院,¥5772.22,进度：24/24节
马哥教育2020Python运维自动化高级进阶班,马哥教育,¥7622.22,共24节
UI设计大师直升班【51RGB出品】,51RGB在线教育,¥1577.22,随到随学
【齐论拼多多/专注电商培训】VIP课程学习卡,齐论拼多多学院,¥3777.22,随到随学
中国风摄影后期就业班,光影学院,¥3162.22,开设2个班级
初下中上套餐（N4N3）,三扣老师日语课堂,¥122.22,课程8
【VIP】钢笔风景速写 /钢笔画/手绘/线稿/速写,润木艺术,¥666.22,共30节
2019PS 108实训班/实操训练/学习兼职就业一站式/第3代VIP课程,聚心恒教育,¥3082.22,随到随学
不刷单！--99%的人都不会的爆款技巧,西瓜商学院,¥377.22,共9节
3Dmax/CAD/VRay入门到精通/建模/材质/灯光/渲染,潜行教育,¥8211.22,课程4
潘晓川经典中医自洽体系药精初级班(脉法中药),潘晓川,¥1222.22,共40节
"老k英语, 全部精品课",老K,¥177.22,课程8
独立音乐人编曲训练营,乐才派,¥0576.22,课程2
威哥手把手解析Java核心技术-VIP配套基础课,扣丁学堂,¥377.22,共32节
商业插画全套VIP课程,简学课堂,¥8062.22,课程2
超级C4D提升进阶第九期【VIP】,米你课堂,¥0277.22,进度：18/20节
2020年一级注册结构专业考试培训班,筑道教育,¥0922.22,课程8
【旅拍终结者】之自然山水行摄篇,蜂鸟摄影微课堂,¥587.22,共3节
【VIP】《零基础水彩》色彩绘画/美术/手绘风景/色调/风景/山水画,润木艺术,¥5976.22,共46节
【齐论教育】新品宝贝操作技巧引爆免费流量打造爆款,齐论教育,¥55.22,随到随学
Go语言从入门到构建区块链教程,猿课教育,¥5976.22,课程7
4周文案训练营，快速掌握10年职业文案人的私家绝活（第18期）,起点学院,¥177.22,共50节
Java企业级就业在线培训班,拓薪教育,¥9177.22,随到随学
PS影楼后期就业班 为课网校,为课教育,¥3977.22,随到随学
软件测试之python自动化测试3(web自动化+app自动化+接口自动化）,松勤软件测试,¥1462.22,随到随学
Excel2016常用函数实操教程,威领word excel ppt,,共85节
